"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5"
"Which one are you buying🧐?
.
.
.
.
.
.
.
(male, men, mensxp, man, mens xp, explore page, for you page, reels, reels instagram, male fashion, boys fashion, men shirts, shirts to buy, male shirts, shirts for men, Best shirt patterns for men, shirts to buy 2025, 2025 shirt patterns)","2","367","Sidecar",,"2025-10-09T12:07:44.000Z","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/563465534_18488295667072403_7567943095796228367_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=S5S6piaWRxsQ7kNvwH5nqhA&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffRGOThGD5QNxrM9VTjO9UlZT6Lgb4OombsTwwc2XHceg&oe=68EDBC95&_nc_sid=10d13b","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/561874249_18488295676072403_5612891284172001863_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=y04VQgkbpvgQ7kNvwFxxZ_b&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdYLPvp89w2AKn2gNXA3L6NFNX-qsuoIfs-aUGgJr9kVA&oe=68EDD6DD&_nc_sid=10d13b","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/563001676_18488295685072403_8482727126502703992_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=MrsJ5ZLBcwYQ7kNvwGfPqcB&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc-8OtxKK5cYJUn4SkL6Wv_neqPO0Mgwp9s9wTe2J6xIA&oe=68EDC30E&_nc_sid=10d13b","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/561405406_18488295694072403_6905393018747362639_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=Nd2wzupydCkQ7kNvwH2Wgia&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdH_Wa9c60ZuPH1GVv6Ubf86uuFesxwhjPrFwUjJW1VtQ&oe=68EDC34D&_nc_sid=10d13b","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/561654901_18488295718072403_6224855186972570356_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=hftll2fDV-wQ7kNvwEMHYJk&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeojSTPA9SNw5BWzJvK1BRe0xudP-4q0zYzlIF7PL-eoA&oe=68EDD57C&_nc_sid=10d13b","https://instagram.fric1-2.fna.fbcdn.net/v/t51.2885-15/562508139_18488295706072403_2020557592652056964_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fric1-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGTx2xibf6Jy1bafjPYVXo2YMue3nguubS0M_ZIa6l3EHUJGUaXBA1mFd8hV8HQdwk&_nc_ohc=Knk8ZL6GFLgQ7kNvwE0RvEA&_nc_gid=CUcAzwWptuHagL9F-CuvIA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcMvVCoaOlDPXKbOoFzTuKrLW2YFUcwOhAgEYyd8VTyrQ&oe=68EDA58C&_nc_sid=10d13b"
"Tell crow?
.
.
.
.
.
.
.
.
(male, men, man, mesnxp, mens xp, explore page, for you page, reels, reels instagram, relationship, dating, relationship reels, boys, dating questions, questions to ask a man)","40","858","Image",,"2025-10-08T14:40:05.000Z",,,,,,
"Must try this Diwali 🪔 by @astroarunpandit
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, Astro Arun Pandit, Arun Pandit, Astrology, Astro Pandit, explore page, for you page, reels, reels instagram, Diwali, Diwali 2025, Diwali pooja, Diwali puja, yantra to try, Vaastru, Diwali Astrology, Diwali pooja tips 2025, Shriyantra Puja)","0","52","Video","473","2025-10-09T15:31:13.000Z",,,,,,
"RK stands for Rizz Kapoor😏
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, explore page, for you page, reels, reels instagram, RK, Arks, Ranbir Kapoor, male fashion, looks, Love and War, bollywood, meme, funny, Alia Bhatt, Ranbir Kapoor latest, Ranbir Kapoor arks)","0","1071","Video","18294","2025-10-09T14:00:56.000Z",,,,,,
"Success doesn’t come easy 💯

@bhuvan.bam22 reveals the real sacrifices behind his journey- from cutting down friendships to giving up sleep and sugar to stay focused and fight laziness🔥

Watch this honest moment from Men’s Locker Room on YouTube 
.
.
.
[men, MensXp, Bhuvan Bam, podcast, Bollywood, Bhuvan Bam love life, Bhuvan Bam relationships, Bhuvan Bam trolls, Bhuvan Bam fame, Bhuvan Bam love advice, trending, trend, viral, movie, Bollywood movie, Karan Johar, explore page]","2","588","Video","5293","2025-10-08T09:44:35.000Z",,,,,,
"What does your watch say about you? ft. @varunduggi 
Because every wrist tells a story : hustle, purpose, or adventure.

⌚️ The watches in this reel:
1️⃣ TAG Heuer Formula 1 → The Everyday Hustler
2️⃣ Hamilton Khaki Field Mechanical → The Purist
3️⃣ Seiko Shogurai → The Adventurer

Your watch is saying more about you than you think.
Make sure it’s the right story
.
.
.
[men, MensXP, watches, watch, watch collection, Varun Duggi, collection, fashion, tips and tricks, grooming, men fashion, trending, trend, viral, trending reel, viral reel, explore page]","23","644","Video","7607","2025-10-09T08:00:42.000Z",,,,,,
"Their day begins in dust, defined by grit, grunts, and grabs. Yet the moment they step off the mat, the story changes. The Haryana Steelers carry a fierce attitude, yet layer it with something new: a modern swagger that mirrors hip hop beats, street fashion silhouettes, and the unapologetic rhythm of Haryanvi rap. They are proof that champions can be more than muscle - they can shape identity, influence style, and shift conversations.

No posturing, no hesitation - just athletes who looked as comfortable in PUMA fits as they do in akharas, their masculinity now speaking in a new vocabulary: one of edge, elegance, and aspiration.

This is kabaddi, reimagined. Strength recast as style. Tradition in conversation with swagger. Athletes who move like icons, and icons who still wear their scars with pride.

Credits:
Conceptualized By: @jsw_sports 
Photography: @anirudhere 
Line Production: @shalinimenonn 
Photography Assistant: @avinash78ni 
Designwear: @soul.kari 
Stylist: @karishmakacharya 
Hair & Makeup Team:
Head: @shifstershettty 
Makeup: @makeupbypallavii 
Hair Assistant: @not_sohailkhan 

#ShowSteelers #HaryanaSteelers #kabaddi 
.
.
.
[men, MensXP, Digital Cover, September Digital Cover, Mensxp Digital Cover, trending, explore now, Instagram]","117","21408","Sidecar",,"2025-09-26T06:30:00.000Z","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/554469888_18485675032072403_4569717875302842515_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=jf9YL3DvztEQ7kNvwFVkeU0&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffuJDoMv0Asazrs5rlOtt9vGkN96LDwuPvmZlAYgmsxMg&oe=68EDABFA&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/554438196_18485675047072403_3092976732943050901_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=of4Ez_XxWDUQ7kNvwHNKbWh&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffEcj-7phJNLAyep5LOBrvClw37lk1bnBL23meVdUJsHA&oe=68EDB5B1&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/553676350_18485675056072403_8050558866575881527_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=IKp98FMCmUoQ7kNvwGmODMG&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc1N9qwaP8ZwH3eZdM4mW2F-jhB7gfef7bU44_5HSn-3A&oe=68EDC32F&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/554862766_18485675065072403_4748307574470659142_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=5dAfsREROJIQ7kNvwGHLvYC&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfduAi9O50Ql6YyxqG4LkD4jFxGNc9FZezr_e2nj2KrHpA&oe=68EDB592&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/554839448_18485675077072403_6706956108356621264_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=1EN9W5WIspUQ7kNvwE2AZIO&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afcm7wY8qqEvuLo3mlrwbpgvnWxTcM2DZ-ISAsVSIRt6mg&oe=68EDA6C5&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/554782131_18485675068072403_7757783760664826609_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QESBKnanbvYBW_0R6n7JcbWyO8l8REEL1CKDOd4zNztin-N8MCtR4X76rA6n0JpPO8&_nc_ohc=YBC4EGrauwUQ7kNvwEgDxQV&_nc_gid=fmlURNP_huXUsUcBhGWO8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afcmiwk5LuRgcEscpAeIpbPxvCs7CG9Nu3diu-f44vYcMw&oe=68EDBF7F&_nc_sid=10d13b"
"December is going to be Messi⚽️
.
.
.
.
.
.
(male, man, men, mensxp, mens xp, Messi, GOAT, Messi GOAT, Messi India, Goat India Tour, Lionel Messi, Messi Virat Kohli, Messi Srk, Messi Rohit Sharma, Sports, Football, explore page, for you page, reels, reels instagram, sports, football reels, Messi India tour, Messi Modi, Messi after 14 years)","13","1467","Sidecar",,"2025-10-08T12:52:23.000Z","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/561288275_18488129431072403_7646200873676172954_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGjgLQOKY7GhrVzRSYDpypxIHI0aKwbfEArbPN_kG0VKDANyJqTFydbLalRRtNbors&_nc_ohc=AglzBfB25igQ7kNvwH-gVOS&_nc_gid=NZy3dsZiH7fbNzlMCnFo5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc52XcjfO_vLs880WvfwtiYvVszmo6mSiT4k4XsX9KZ6w&oe=68EDC52C&_nc_sid=10d13b","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/561522297_18488129467072403_6665872852754969273_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGjgLQOKY7GhrVzRSYDpypxIHI0aKwbfEArbPN_kG0VKDANyJqTFydbLalRRtNbors&_nc_ohc=9XAtO4OCoikQ7kNvwEEWKJF&_nc_gid=NZy3dsZiH7fbNzlMCnFo5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfekBulwJc8DYPT4TS6VAvgLfq2dZFbr4RhzpsRLR2NH_g&oe=68EDA904&_nc_sid=10d13b","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/562068979_18488129440072403_5833144090979746169_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGjgLQOKY7GhrVzRSYDpypxIHI0aKwbfEArbPN_kG0VKDANyJqTFydbLalRRtNbors&_nc_ohc=fgOIyn5CGtcQ7kNvwF9gxk4&_nc_gid=NZy3dsZiH7fbNzlMCnFo5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdHS3CqJ16tvsnALM8n4E_pOrPZd6hNInvfAYNWUB23hQ&oe=68EDCE50&_nc_sid=10d13b","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/561602041_18488129458072403_6092608982605475995_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGjgLQOKY7GhrVzRSYDpypxIHI0aKwbfEArbPN_kG0VKDANyJqTFydbLalRRtNbors&_nc_ohc=AMjf1C9jtvwQ7kNvwGiGiX8&_nc_gid=NZy3dsZiH7fbNzlMCnFo5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffM7QnQ9P10gKo5-qhBB8ewri7di7N8SGTYHPOxSt7XDg&oe=68EDD382&_nc_sid=10d13b","https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/561841912_18488129455072403_392659006464685123_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGjgLQOKY7GhrVzRSYDpypxIHI0aKwbfEArbPN_kG0VKDANyJqTFydbLalRRtNbors&_nc_ohc=QX8I_XyUNP0Q7kNvwGuo74C&_nc_gid=NZy3dsZiH7fbNzlMCnFo5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdsFr1lha3LK2AnOvzRTt-ujAjAVRt6MIL2qNuz1IOhXA&oe=68EDD19F&_nc_sid=10d13b",
"@shreyasiyer96 , the epitome of unwavering commitment, versatility and dedication. Celebrating his recent IPL win, Iyer seamlessly combines strength, energy, and remarkable excellence. His leadership skills, marked by steadfast commitment, are privy to the fact that peak performance is fueled by physical fitness and dedication because ‘He is a man of his word’! 

Embracing whatever comes his way, he faces each challenge with tireless resolve and an optimistic spirit. His relentless drive on and off the field exemplifies excellence and makes him the perfect choice to lead.

Team Credits:
Founder- MensXP, iDiva & Hypp: Angad Bhatia (@iangadbhatia )
Head Of Editorial Content: Dattaraj Thaly (@dattarajthaly)
Hair- Aalim Hakim (@aalimhakim)
Makeup- Cassandra Kehren (@inherchair) 
Stylist- Nikita Jaisinghani (@nikitajaisinghani)
Photographer- Rahul Jhanggiyani (@rahuljhangiani) 
Player's Agency- RISE Worldwide (@r1seworldwide )

#MensXP #ShreyasIyer #Shreyas #Manofhiswords #Junedigitalcover #cricketlover","262","112076","Image",,"2024-06-04T06:59:31.000Z",,,,,,
"Growth, when it’s real, is rarely loud. 

It doesn’t always come wrapped in applause or algorithms. Sometimes, it arrives in the quiet — in the distance one puts between performance and authenticity. 

For @puravjha that distance has been transformative. Once the boy with effortless timing and memeable charm, he now stands at a more deliberate crossroads: one where craft takes precedence over clout, and narrative over noise. 

In a creator economy obsessed with reinvention, his evolution is refreshingly unforced. It isn’t a departure from the past — but a deeper reckoning with selfhood. 

With this MensXP cover, we don’t just meet a digital star. We meet a young man reclaiming his voice, rethinking his trajectory, and reimagining what it means to take up space with intention.

This is Purav Jha. Not rebranded — but redefined. Coming Into His Own.

#ComingIntoHisOwn #PuravJha #MensXPCover #Trending 

Team Credits: 
Head Of Editorial Content: Dattaraj Thaly (@dattarajthaly )
Photographer- Rohit Gautam (@shutterstrings )
Stylist - Shivika Paliwal (@shivikapaliwal )
Assistant Stylist -Charu Sharma (@charuuuhhhh )
Hair & Makeup - Rohit Diwaker ( @rohit_diwaker )

Wardrobe Credits: 

Look 1: 
Outfit: @perte_dego 

Look 2: 
Shirt: @perte_dego 
Pants: @labelalphaomega 
Footwear: @dmodotofficial","1967","154917","Sidecar",,"2025-05-20T11:39:19.000Z","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/500146150_18463835707072403_1783928923615887941_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=Vu70BMl-SFgQ7kNvwGrj9Ss&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aff0JeF_EgH98TZIiLSlEhuTiuEPtStx4XBOaXonDItQIQ&oe=68EDBB39&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/499712917_18463835716072403_1332054795881199696_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=CdRTQN-gfjYQ7kNvwG_pu71&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc2Yz7dWvg2ssWAiWwJ-dHAxNhKlqFKm74kyUXKpDvYWA&oe=68EDC9BD&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/499691889_18463835746072403_7528783520990794975_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=mR8jtEUk-I8Q7kNvwGesPO1&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffQkhfrvb9ApFveDqUqONq2nw-2FbKGzUY2-eiJqkZ7Nw&oe=68EDBCDF&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/499221765_18463835725072403_8508187990304568238_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=9Nt6guDuMDQQ7kNvwGzecRQ&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdvHS3_PLmh_7lJZN6RbsaV7IlRldKHJfNZtv65aMpvGA&oe=68EDC016&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/498714894_18463835737072403_7102468204413935252_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=xPweyNJmFrkQ7kNvwG-jEfp&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffnpHva68xEelhk9qznZphS9Ocfua9w4gEDIJekJriDWQ&oe=68EDBA71&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/499945037_18463835758072403_6672412381295685094_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_cUvQhjg_txMKzTHZarMEZCz8kyOX4PycQ3-qTQxyl_5k8ifz5xuWmOdHamZPmJ0&_nc_ohc=EoQ2_c0xwhcQ7kNvwGSXbFl&_nc_gid=dCxQD3maucWMBIgxSK_d_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afe44x9d0weFJsDTEr6uEYYivtdtws1ma9nO4py4VQtl1A&oe=68EDBCB9&_nc_sid=10d13b"
