"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11"
"Pralay ki ghadi aa rahi hai, dharm-adharm ke yodha Kurukshetra mein kal utar rahe hain 🔥🏹
Watch Kurukshetra, out tomorrow, only on Netflix.

#KurukshetraOnNetflix @ajit_andhare @kgunedited @ujaanganguly @simaab @aslidivyakumar @imsuvarnatiwari @viacom18studios @tippingpointfilms @vineet.garg81","58","13877","Image",,"2025-10-09T07:00:32.000Z",,,,,,,,,,,,
"Joker lag rahe ho 🥰🫵

🎥: IT
[Horror, Jumpscare, Clowns, Scary, Night Time, Goodnight]","75","19745","Video","91262","2025-10-08T16:47:21.000Z",,,,,,,,,,,,
"Gong Yoo, jaanu yaha aao 🫰

📺: Love Untangled
[Funny, Hindi Dub, Hindi, KDrama, Korean, Gong Yoo, Proposal, Love]","46","5959","Video","44296","2025-10-09T11:32:31.000Z",,,,,,,,,,,,
"She’s going to fight the trolls from the eye of the storm 🌀🔥

Watch The Game: You Never Play Alone, out now in Tamil, Telugu, Malayalam, Kannada and Hindi, only on Netflix.

#TheGameOnNetflix @applausesocial @sameern @segaldeepak @pramodcheruvalath #AmalgaCreationsMedias @rajeshmselva @shraddhasrinath @santhoshprathapoffl @deepthigovindarajan #KarthikBala @garg.prasoon @devnidhib @vighnature @itvstudios","96","7023","Video","108782","2025-10-02T07:00:12.000Z",,,,,,,,,,,,
"What did they put in this song? 🤌

#SaiyaaraOnNetflix","98","16449","Video","74264","2025-10-09T13:05:03.000Z",,,,,,,,,,,,
"Dharm aur adharm ke iss mahayudh se itihaas gawah hai, aur ab aap bhi ⚔🔥
Watch Kurukshetra, out 10 October, only on Netflix. 

#KurukshetraOnNetflix @ajit_andhare @kgunedited @ujaanganguly @simaab @aslidivyakumar @imsuvarnatiwari @viacom18studios @tippingpointfilms @vineet.garg81","421","59732","Video","367476","2025-10-01T05:32:09.000Z",,,,,,,,,,,,
"The countdown is over. The War begins🔥
Watch War 2, out now in Hindi, Telugu and Tamil, on Netflix.

#War2OnNetflix @hrithikroshan @jrntr @kiaraaliaadvani @ayan_mukerji @yrf #YRFSpyUniverse","1141","266385","Video","1280554","2025-10-09T05:30:07.000Z",,,,,,,,,,,,
"Nominees for the Baddest in Bollywood ✨🔥
Watch The Ba***ds of Bollywood, out now, only on Netflix.

#TheBadsOfBollywoodOnNetflix","123","25169","Sidecar",,"2025-10-09T09:03:01.000Z","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/561586412_18430379227110094_3218482403566759876_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=-sdFogQUyzUQ7kNvwHDkJjT&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdhkkZFrCtooSWSy8zIWUu4xaW31HyXG9V5v81PVulcoA&oe=68EDAD65&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/561534724_18430379242110094_3330192566564597189_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=-yN5omNjDrsQ7kNvwE40Jd3&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd_2RNPhwBEveYTE5avHHoeAGA7xH8eDaVTTmBnDwSqPA&oe=68EDD762&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/560651509_18430379245110094_6822608446196197587_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=OgMoXNSNQTgQ7kNvwHjD_IY&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcsC9Ecq0s8wBWFeULVcCBLYBGgga2ayUzWfOuP0eckBA&oe=68EDA431&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/560437354_18430379254110094_1140623293894325851_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=VmnaBvLNsPgQ7kNvwGHJzNT&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdgjLficvkuCxxIK7aHHq44U-Jtvzsd12C4VZwDHYHg4g&oe=68EDBD3C&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/561416632_18430379278110094_284059689596525494_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=yyBduGs-p7gQ7kNvwHALpdW&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcMQkZuoOD0PUXJ4GuWB1TJufAMkQitG1JbztJxkDoxkw&oe=68EDACEE&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/561607318_18430379281110094_2518998588003871833_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=eCDIlyBM9FQQ7kNvwFLja1T&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcviZwvhYGSZ19Tbx-YQANoBR7SZrZsMzL29iFwL9zTSw&oe=68EDCFAB&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/561173047_18430379263110094_6250573056190579765_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHNUTJ0zsjjOD-9id9TTobnWUlemRrfF-DvjBVNaplyhpNBzNNKWqZ4jPhTGc2osHk&_nc_ohc=HooZl5k4OIgQ7kNvwEI4UyA&_nc_gid=W65KV8utpJ2vCTYkACmd8A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcvWSDSmMgC8Q2RHo3TuEwFa_Xyj6SQoxf-lK7cg1pjgA&oe=68EDA454&_nc_sid=10d13b",,,,,
"Kavya’s labour of love meets an army of hatred 👀🚨

Watch The Game: You Never Play Alone, out now in Tamil, Telugu, Malayalam, Kannada and Hindi, only on Netflix.

#TheGameOnNetflix","34","5285","Video","91574","2025-10-08T11:30:32.000Z",,,,,,,,,,,,
"Hangry Sharma Ki Dulhania 🤭

🎥: Humpty Sharma Ki Dulhania
[Alia Bhatt, Varun Dhawan, Varia, Relationship Goals, Couple]","36","20750","Video","186691","2025-10-08T13:00:08.000Z",,,,,,,,,,,,
