"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9"
"'For a country where Gen Z youth peacefully united against a social media ban and later violently protested an internet blackout, it is telling that the new Prime Minister reportedly has no access to the official handles used during the Oli era. 

....Managing digital platforms may seem like a small issue. But it reflects a larger worry about governance, which requires attention to detail, foresight, and institutional capacity. This is especially true in a country where Gen Z youth toppled a government through social media-driven protests, demanding systemic change.

Nepal’s state apparatus quickly needs to figure out how it wants to move forward. If passwords can be lost in transition, what happens to power itself? 

Link in bio to complete column by Rishi Gupta, Global affairs commentator 

#nepal #socialmedia #socialmediaaccounts #sushilakarki #nepalprotest #genz #kpsharmaoli","0","63","Image",,"2025-10-09T15:30:08.000Z",,,,,,,,,,
"ThePrint is looking for bright individuals with 3-4 years of work experience in reporting and writing stories on science, technology, space, pharmaceuticals, biotechnology, environment and the start-up sectors. An ideal candidate must have:

1. A keen interest in news and curiosity about current events in these subjects

2. Engaging writing skills that can de-jargonise science and tech for general interest readers

3. Video storytelling skills

4. Wide network of contacts in and an understanding of the scientific institutions

5. Capacity to work on tight digital deadlines

6. Keen reader of latest international science and tech research

7. Please send your CV with published articles on science, tech, space, environment

The ideal candidate must be based in Bengaluru or Hyderabad. You will get the opportunity to learn a vast array of skills, travel across southern states and become a powerful byline in science journalism. 

Send your resume to careers@theprint.in","0","70","Image",,"2025-10-09T13:08:44.000Z",,,,,,,,,,
"The acting foreign minister of Afghanistan, Amir Khan Muttaqi, will meet External Affairs Minister S. Jaishankar Friday, while a meeting with National Security Adviser (NSA) Ajit Doval has not been ruled out. The meeting with Jaishankar, will be one where the flag of the Taliban regime, white with the Shahada, will likely not be seen.

The meeting with Jaishankar will be the highest level of interaction between India and Kabul, since the Taliban retook control of Afghanistan in August 2021.

Muttaqi arrived in India early Thursday morning, and is set to remain in the country till 15 October, the date the waiver from the United Nations Security Council (UNSC) lapses.

Link in bio to complete report by Keshav Padmanabhan (@juicedfive) 

#ThePrintForeignAffairs #Taliban #Muttaqi #IndiaKabulmeeting #MuttaqiJaishankarmeeting #IndiaKabul #MuttaqitomeetDoval","0","113","Image",,"2025-10-09T15:08:06.000Z",,,,,,,,,,
"From Rawalpindi chicken tikka masala to Sargodha dal makhani and Bahawalpur naan, the Operation Sindoor-inspired dinner menu of an Indian Air Force (IAF) unit has set off sharp reactions, with some lauding it and others urging the IAF to punch above its weight.

The menu, it is learnt, is from an IAF station that saw intense action in the Western Sector during Operation Sindoor—the 87-hour conflict between India and Pakistan’s armed forces in May. The menu, with dishes named after Pakistan Air Force (PAF) stations and terror camps in Pakistan’s Punjab and Pakistan-occupied Kashmir (PoK) struck by Indian armed forces, was curated as part of a dinner to mark Air Force Day (8 October).

While this was not officially sanctioned by the IAF, sources in the Indian defence establishment explained that the idea to curate an Operation Sindoor-inspired menu was executed at a local level, in a lighter vein.

Link in bio to complete report.

#IAFdinnermenu #OpSindoorthemeddinner #RawalpindiChicke #Balakottiramisu #Pakistanstrikeareas","2","228","Image",,"2025-10-09T13:23:22.000Z",,,,,,,,,,
"Six years after the ‘Howdy, Modi’ rally in Houston, where Prime Minister Narendra Modi and US President Donald Trump held hands before a cheering crowd, the bonhomie has eroded. And it is the Indian diaspora whose role in influencing India-US relations — or the lack of it — has come under scrutiny. But many who once embodied India’s soft power now defend their perceived passivity, citing “an unprecedented wave of anti-Indian animosity and mistrust.”

Many Indian-Americans sharply criticised Shashi Tharoor’s op-ed in the Indian Express last week, in which he accused them of staying silent on issues such as the 50 per cent tariff of Indian goods and the new six-figure H1-B fee. Yet this is the same community that has long championed the Indian State— building support for the US-India Civil Nuclear Deal in 2008, lobbying to revoke Modi’s visa ban in 2014, and opposing resolutions that sought to condemn India over the abrogation of Article 370.

Now, some have been compelled to put forth a new position: it isn’t their job to criticise the US for its policies toward India.

Link in bio to complete report by Udit Hinduja (@udithinduja) 

#Indiandiaspora #IndiaUSrift #Trumptariffs #H1Bvisas #Indiandiasporasilence #ShashiTharoor #IndiaUSties #IndianAmericans","3","28","Image",,"2025-10-09T16:27:13.000Z",,,,,,,,,,
"Huge turnout at BSP rally in Lucknow. Standalone posters of Mayawati’s nephew & national coordinator Akash Anand suggest he’s emerged as the party’s no. 2. Watch Prashant Srivastava (@prashantreports) explain five key takeaways from Mayawati’s rally.

Link in bio to full video.

#Mayawatirally #BSP #Mayawati #AkashAnand #Mayawatinephew #Lucknow #BSPrally","4","153","Video","1832","2025-10-09T15:37:17.000Z",,,,,,,,,,
"'Justice Gavai ascended to the post in an era when social media has hijacked the national dialogue and upper castes have celebrated identity politics. His appointment was not a conscious effort by the government to break caste barriers. He rose to the post by the seniority principle. Hindutva hardliners were far from thrilled that the country’s highest judicial office was now held by a man who is not only Dalit but whose family had abandoned Hinduism for Buddhism. 

...The attacks on the judge went further. On discussion programmes, Hindutva activists managed to recommend violence against him, carefully phrased to stop just short of incitement. Nathuram Godse was invoked (in a good way, of course, given how he is a “hero” in these circles). The idea that Hindu interests were being harmed by the Chief Justice spread rapidly on social media. 

...But neither can he fully disown the hardliners — the ones who propound their own definitions of Sanatan Dharma, hate Muslims and Dalits, venerate Godse, and cheer attacks like the one the Chief Justice was subjected to. They are his original Hindutva base. So when they boast that “the entire system is ours,” he looks the other way.'

Link in bio to complete column by Vir Sanghvi (@virsanghvi) 

#cji #cjigavai #india #indians #shoeattack #castediscrimination #supremecourt","53","608","Image",,"2025-10-09T13:30:05.000Z",,,,,,,,,,
"The Siddaramaiah-led Karnataka government Thursday approved a policy to provide one-day paid menstrual leave to women every month. The new policy would cover all government and private employers.

The Menstrual Leave Policy 2025 will cover all organisations that employ women including government offices, garment industry, corporates, information technology, and other sectors.

Karnataka follows in the footsteps of its southern neighbour Kerala that introduced a similar policy in January. 

Link in bio to complete report by Sharan Poovanna.

#Mentrualleave #Karnatakamentrualleavepolice #Siddaramaiah #Karnataka #mentrualpain","15","1734","Image",,"2025-10-09T15:24:39.000Z",,,,,,,,,,
"UK PM Starmer visits India with largest-ever UK trade delegation—focus on FTA, defence, & fintech. Meanwhile, Trump pushes for Gaza peace talks & threatens invocation of Insurrection Act back home. Catch this week’s top stories on #World360 with Varnika Dhawan (@varnika_dhawan)

Link in bio to full video.

#worldnews #uktrade #ukprimeminister #keirstarmer #donaldtrump #gazapeacetalks #gaza","0","13","Video","154","2025-10-09T12:54:10.000Z",,,,,,,,,,
"The Prashant Kishor-led Jan Suraaj Party (JSP) has released a list of 51 candidates, including many professionals such as lawyers, doctors, and academicians, for the upcoming Bihar elections.

Former Indian Police Service (IPS) officer R.K. Mishra will contest on a JSP ticket from Darbhanga. IPS R.K. Mishra, a former director general (home guards), served in the police force for a long time and is known for his strict working style. His association with the Jan Suraaj Party is traceable to its inception.

Addressing a press conference, Jan Suraaj Party (JSP) national president Uday Singh said Prashant Kishor will kickstart the poll campaign from Raghopur—a high-profile assembly seat, now represented by the former Bihar deputy chief minister and Rashtriya Janata Dal leader Tejashwi Yadav.

Link in bio to complete report by Neelam Pandey (@neelam.pandey) 

#bihar #biharassemblyelections #candidates #jansuraajparty #prashantkishor","10","1127","Image",,"2025-10-09T11:26:26.000Z",,,,,,,,,,
