"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5"
"“I’ve always called myself a banjara, a wanderer. My life has been less of a straight and narrow road, and more of a winding journey through mountains and valleys.

It wasn’t me who found storytelling. It was storytelling that found me.

It happened by accident – one reel, one story, on “Agar Tum Saath Ho.” I just sat down and spoke. That video reached nearly 30 million people. Overnight, my life had a rhythm, a purpose.

But before that? I was searching. I changed eleven different professions – investment banking, working in factories, waiting tables in cafés, trying my hand at startups. Ironic that everyone always says don’t give up, because I say the opposite – give up as many times as you need, until you find the one thing that makes you wake up with a smile. For me, that smile came with stories.

I credit the day I watched the film Tamasha. Watching Ranbir on screen felt like watching myself – restless, out of place, aching for meaning. The next morning, I quit my job. People called me impulsive. But to me, the bigger risk felt like staying in a place I didn’t belong.

Life has honestly tested me many times. I was born with one hand. As a child, I’d hide it in photographs, shrink into corners, try to disappear. Kids can be cruel, and their words cut deep. But my parents gave me a different lens: I was not incomplete. I was a limited-edition piece in a world of mass production. Their love and faith changed the way I saw myself.
Once storytelling entered my life, it began to open up. I wrote three books. I stood on stages across the world. I sat across from Aamir Khan. I even worked with Imtiaz Ali – the man whose film pushed me to leap into the unknown. Meeting him felt like life had drawn a perfect circle.

But the truth is, I’m still wandering. Still moving. Still surrendering. Because a banjara never really arrives. He just carries stories from one place to another, hoping they find the people who need them most.
For me, that’s enough. Always has been. Always will be.”

Our episode with Laksh Maheshwari is out now, link in bio!","322","26191","Video","274794","2025-10-03T09:31:21.000Z",,,,,,
"“I’d always known Akash as the neighbourhood guy who played football – the boy I’d see running around the society ground. 

I moved away for work in 2012, but when the pandemic hit, life brought me back to Kolkata. With the world shut down, my mornings were spent running to stay fit. One morning, I injured my knee while running. Akash helped me, and we started talking – from small tips on training… to long conversations that went beyond the field. I was 32. He was 23.

Three months before that, he’d told me he had a crush on me. Maine uss baat ko seriously nahi liya tha. But Akash? He was certain about his feelings – that certainty changed everything.

We started chatting daily – morning runs, walks after dinner, running errands. Flirting toh bahot karta tha yeh. He’d always tease me, “We’re like Priyanka Chopra and Nick Jonas.” Over time, our relationship blossomed.

One day my mother got hold of a letter that he’d written for me. All hell broke loose. Our homes erupted in fights. My mother often cried. “What will people say?” “He has not even started earning.” “Will his family accept you?”

Despite all the arguments, I knew she wanted the best for me. I told her, “I earn enough to take care of us both for now. He makes me happy, isn’t that what counts?” After 6 months, she finally accepted us. 

It’s been 5 years to that. We got married in January this year. No one from Akash’s family attended the wedding. My father also refused to come. But we were confident in our love, and carried on. 

Today, life with Akash is better than my dreams. Our weekends are movies and cooking together, sometimes spontaneous road trips. He got me hooked on travelling!

Of course, we still get the taunts. “She married him, so he’ll take care of her in old age.” Online, it’s worse. Funnily enough, nobody would have batted an eye if Akash was the older one.

But age doesn’t guarantee happiness. I realised that when couples from all over India started sending us DMs after watching our reels – sharing how our story gave them courage.

Even our families have started coming around. At the end of the day, age or society doesn’t sustain a relationship. Love does.”","1006","80705","Video","2351999","2025-10-06T05:39:25.000Z",,,,,,
"“The first time I saw Ram Leela was in 1974, I was 23. I lived near Raj Bhavan, & every evening I would hear the chants, the crowd & felt compelled to walk towards Girgaon Chowpatty to watch. The Ram Leela I saw back then was organised by Shree Adarsh Ramlila Samiti. At that time, I was a guest.

In 1985, I joined the same Samiti as a member & today, I serve as the Hon. Secretary & Trustee. Over the decades, I have seen Ram Leela evolve. In the 70s, there was no TV or digital streaming. If you wanted to experience the magic, you had to be present in the crowd. Nearly 3,000 people gathered every evening. Today, people can watch it online, so the crowds have thinned. Yet the excitement, the energy & the spirit of Dussehra night remain unchanged. Families still bring their kids, just as they did 50 years ago.

For me, two moments stand out every year. The first is Dussehra night, when the 60ft effigy of Ravana is set aflame before lacs of people. That effigy is built by Muslim artisans who travel yearly from Noida. Watching it burn reminds us that no matter how times change, good will always triumph over evil.

The second moment is the Raj Tilak, the coronation of Ram. As the darbar is recreated on stage, it feels like truth itself has been restored. This finale, brought alive by the Ram Mandali from Mathura, ties the entire story together.

What makes this possible are the people: the members, the artisans, the mandali. Over the years, I’ve been blessed to work with people of shared values – our General Secretary Mr. Rajendra Agarwal, Anil P. Agarwal, Vaibhav Gupta, Kailash Agarwal, Ghanshyam Pehalajani, Rajesh Jhunjhunwala & all our team members. Together, we’ve given our time, devotion & hearts to keep Ram Leela alive.

People ask me about the challenges of organising something this big. I always say that when it is Ramji’s work, he takes care of the problems.

For 62 years, our Samiti has carried this tradition forward. Even in today’s age, nothing compares to being here in person; shoulder to shoulder with thousands, watching the story unfold. Because Ram Leela is not just a play. It is our heritage, a living reminder that good will always conquer evil.”","9","1981","Video","57282","2025-10-02T09:34:21.000Z",,,,,,
"(2/2) TW: Rape
“The day of 9th December felt like running through fire. The FIR was registered, and my medical examination, my statement, the photographs – every step felt like reliving it all over again.
The police confiscated from Akash’s flat – the bedsheet, hair strands, my undergarments – reminders that this really happened. Mustafa and Akash were arrested on the same day, but Mohsin absconded. The court proceedings began, and the police found a photo on Mustafa’s phone taken that night. It showed me in bed, barely covered. Proof of what he’d done. His bail was rejected.
But Akash argued that, since there were no injuries found on my private parts, although there were injuries on the rest of my body, that the act was consensual between Mustafa and I. He even asked for leniency as he was supposed to get married on 1st of March. His bail was approved.
I felt shattered. We immediately applied for a cancellation of bail. For months, I stood in hearings, hoping to get some justice. There were days when Akash stood right next to me – free – despite his heinous crime.
I remember when they finally arrested Mohsin, the relief I felt, and the subsequent trauma when I had to identify him in a line-up. His beard and hair had changed, but I recognised him the moment I saw him. His presence made my skin crawl. I knew I had to face him, face them all, if I wanted justice.
Since that night, I’ve moved back home. Quit my thriving career in Mumbai. The girl who once built visual worlds through special effects now struggles to close her eyes. Sleep doesn’t come easy. Panic attacks do. I don’t go out. Some nights, I wake up gasping for air.
It’s been almost a year. The first step of trial – framing of charges – hasn’t even begun.
I don’t want sympathy. I want accountability. This is not just about me. It’s about every woman who’s trusted an old friend, or ever been told to stay silent, to forgive, to move on. Speaking out is the first step towards justice. I hope I reach the day it finally prevails.”
-
The victim wishes to remain anonymous. Akash Bindu, whose bail was finally cancelled on September 30th, is yet to surrender. Her only hope is that all three men face the law.","54","3130","Video","75478","2025-10-08T14:57:25.000Z",,,,,,
"(1/2) TW: Rape
“I’d known one of them for ten years. I met Mustafa Rangoonwala in college, and we kept in touch, often talking about work and life. He’d even met my family, and gone on vacations with us. I trusted him as a friend. On the night of 8th December, 2024, we decided, ‘It’s been too long, let’s catch up.’
That evening, I reached the restaurant at 7:30 pm. He wasn’t alone – he’d come with a friend, Akash Bindu. I remember thinking, ‘That’s fine… maybe it’ll just be a longer dinner.’ We ordered drinks. We talked about old times. When it was close to 11 pm, Mustafa said, ‘Let’s go to my place for another drink.’ I said no. His friend offered his own flat instead, as it was close by. They both insisted. I gave in.
At the flat, I met another one of their friends, Mohsin Khan. By this point, I was feeling tipsy, and my head was hurting. That’s when Mustafa handed me a glass of something – it wasn’t colourless. When I asked what it was, he said, ‘It’ll help with your headache.’ I remember that moment so vividly because it was the last time the world felt normal.
After that, everything became fragments. Hands pulling my phone away. My wrists tied. The sound of my own breath, shallow and panicked. The pressure of a palm over my mouth halting my screams. The weight of betrayal that crushed the air out of me. 
All three men raped me that night.
Around 3:30am, I begged them to let me go, and promised I wouldn’t tell anyone what had happened. Mustafa threatened me to stay quiet or face the consequences – to my life. He walked me to the elevator himself – as if nothing had happened. Downstairs, I got into a rickshaw, went to a friend’s place, and called my parents in Pune. I couldn’t stop crying. I still remember their voices – cracking with fear and disbelief as they said, ‘We’re coming to Mumbai right now.’
I was too scared and ashamed to go to the police. I thought I’d done something wrong, that I’d be blamed and judged. But it was my Mama, who’d accompanied my parents, who convinced me, ‘Beta, you’re not the one in the wrong, you shouldn’t stay silent. You deserve justice, we’ll do whatever it takes…’”
-
The victim wishes to remain anonymous. Part 2 out soon.","82","4112","Video","96822","2025-10-08T10:51:48.000Z",,,,,,
"“I came to Banaras expecting temples and traditions, but left with stories of people, food and quiet moments.

At @treeofliferesortsandhotels, every day felt like slipping deeper into the city’s soul – from cooking local dishes to mornings wrapped in calm.

Sometimes the city shows you sides you never expect. And in Banaras, there are some stories you live, and some that you bring back with you.”","10","7370","Video","136137","2025-10-03T12:43:44.000Z",,,,,,
"“People often ask me, ‘Aren’t you scared, stepping into a cage full of blood, men, and fighters twice your age?’ But the truth is, I’ve never been scared. Only curious.

I grew up in Kolgaon, Maharashtra. My childhood was simple: books, farms, discipline. I was a shy child, but always restless, always moving.

One summer, when I was 10, my dad, who has a karate background, took me to a CrossFit gym. I was looking around, all curious, and the coach asked me, ‘Want to learn grappling & jiu-jitsu?’ I was confused at first, but once he explained what it meant, I immediately said yes.

Soon, I was training with men twice my size. Ten days later, I entered a championship. But I was told I’d won because there were no girls in my category. I could have walked away with the medal. But I wanted to fight. They put me against a boy, older and heavier. Everyone thought I’d back out. But I fought. And won.

For the first time I realised, this sport isn’t about strength, it’s about willpower. Since then, I’ve stepped into cages against women twice my age. In Shillong, I fought a 30-year-old national champion. The crowd cheered for her. But by the end, when my hand was raised victorious, they screamt my name.

It isn’t easy. My days begin at 8 AM in the gym, and often end past midnight after training camps. No sugar, no fried, just home-cooked meals with 12 cheat days in a year.

What keeps me going is my family. My mom plans every meal, my dad never misses a fight. He leaves behind his work to travel with me. My late grandfather would proudly send videos of my wins to the entire family. Today, I fight with his voice echoing in my mind, telling me how proud he is.

Of course, there are losses, injuries, and disappointments. But even in defeat, people come up to me and say, ‘We’ve never seen a 16-year-old fight like this.’ That’s enough to remind me why I do this.

My dream is to one day be the UFC World Champion. But more than that, to inspire other young girls. To prove that courage has no age, no gender, no boundaries.

Because the moment that cage locks behind me, it’s not about who’s standing across. It’s about me, my grit, and my belief that I’m exactly where I belong.”","66","2382","Video","56594","2025-10-06T12:30:05.000Z",,,,,,
"“People often ask me, ‘What was life like as a woman in uniform?’

I always go back to where it began. I was born in a fauji home where olive green wasn’t just a colour, it was a legacy. My great-grandfather, father, uncles, cousins — all served. Service before self wasn’t a motto; it was a way of life.

At a very young age, I lost my father while he was on duty. Overnight, Maa became both parents. She could’ve relied on my father’s dues, but instead, she built a business from scratch & kept our world moving forward.

In 2008, when I sat for the 4 Air Force Selection Board; the one exam you get just a single shot at, I heard her voice echo, ‘Sapne itne bade dekho, aasman bhi chhota pad jaaye.’
Out of over a hundred candidates, only one made it through that year — me. That’s how I earned my blues & took to the skies as a helicopter pilot.

Training was brutal. 4 a.m. wake-ups, drills, simulators, sorties. There were days I thought of quitting. But Maa reminded me, ‘That’s not the girl I raised.’

For 14 years, I flew missions that tested me. Flood relief in the Northeast, tactical evacuations in hostile zones. Once, we airlifted a wounded jawan in stormy weather, his blood pooling on the floor while my instruments blinked warnings.
In that moment, I realised courage isn’t the absence of fear; it’s the resolve to stay steady despite it.

There were sacrifices too. While friends explored life, I was flying sorties. Later, as a wife to a fighter pilot & mother of two, I learned to balance night flights with bedtime stories. Some days, I broke down. But I always rose back because I had my family, my purpose, my uniform.

After 14 years of service, I hung up my blues. People say I left the Air Force — I say, I gave my best years to my country, & then chose to reinvent. I pursued an MBA, won the title of Voguestar Mrs. India 2024, & today, I lead recruitment at Capgemini.

Because women don’t have to be just one thing.
We can guard our skies & walk the ramp.
We can carry a bleeding soldier to safety & rock a baby to sleep.

If the Air Force taught me one thing, it’s this —
Freedom isn’t just about taking off; it’s about the grace of a safe landing."" #IndianAirForceDay","79","6132","Video","89398","2025-10-08T05:29:10.000Z",,,,,,
"Is Humans of Bombay just this, or much more? 
Watch this space to find out 👀","26","324","Video","6211","2025-10-09T09:44:01.000Z",,,,,,
"“‘Goa jaana hai!’ That’s what Priya said when she told us about her bachelorette. Sakshi and I jumped in immediately because none of us had ever been to Goa! But when we told our parents, the answer was a clear no.

‘Goa is not safe.’
‘Celebrate here in Indore.’
‘Why go so far?’

We even contemplated lying and sneaking out. But then, randomly, an idea popped into my head, ‘Why not take our moms with us?’ At first, everyone laughed. But then it clicked, our moms had never been on such a trip either!

Cut to: three daughters, three moms, landing in Goa for a bachelorette. People looked at us like, ‘Is this for real?’

We went kayaking. We danced at Thalassa while our moms blushed at the belly dancers. One night, we threw a proper bachelorette for Priya, our moms joined for a bit, cheering and laughing, before leaving us three to dance the night away.

But the best part wasn’t the rides or the parties. It was seeing a side of our moms we’d never seen before. They were carefree, giggling like schoolgirls, eating ice cream by the beach, bargaining like pros at flea markets. It made us think, this is the girlhood they never got to experience. The things we take for granted today are still so novel to them. For once, they were free, with no inhibitions.

Somewhere in the middle of the trip, my mom got emotional. She said, ‘I’ve never even travelled for my honeymoon. This is the best trip of my life.’ I can still hear her voice in my head when I think about it.

The trip wasn’t just a bachelorette, it was one of the most beautiful memories of our lives. To see our moms genuinely happy, to give them the girlhood they never had, that’s something I’ll carry with me always.”","47","10759","Video","166487","2025-10-04T05:32:35.000Z",,,,,,
