"caption","commentsCount","likesCount","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12","images/13","images/14"
"12th Fail actress Medha Shankr recently met the beloved music sensation, Sonu Nigam, at a Diwali party held in the city. She took to her social media handle to share a click alongwith a warm note that revealed a heartfelt anecdote from her childhood. The actress recalled attending Sonu Nigam’s concert at the mere age of 11, along with her family, and shared how his voice continues to remind her of her childhood and home.

“I was 11 when I attended Sir’s concert with my family. He wasn’t feeling well that evening, so a few other artists performed before him. Then, for a few minutes, the stage went quiet. Just the lights, the anticipation, and then… that voice singing “Suraj Hua Maddham” ,before we could even see him on stage. The 11-year-old me couldn’t hold back tears. I was so overwhelmed. The next 2 hours were nothing short of magical!” she wrote.

And added, “At one point, you asked the audience to sing along, and the whole crowd joined in. Then you smiled and said, “Wow, aap log toh achha gaate hain.” And in that moment, I truly believed you were speaking only to me. There’s no one like you in the world, @sonunigamofficial Sir. Aapki awaaz mujhe mere ghar aur bachpan jaisi mehsoos hoti hai. And Thankyou so much for that.”
.
.
.
.
@medhashankr @sonunigamofficial 
[Medha Shankr, Sonu Nigam, Bollywood, Bollywood Bubble]","0","197",,"2025-10-23T08:20:49.000Z","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/568693162_18486311194072700_8021173101836696147_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFfbopbn2fFK1kFgM8Fz8uxf8WRzzdoV6ttkiCRQCzhYZxW5O4sUCwNjFE2Dj6TnTyRfdWW6PEtUh2DTKVtCg1U&_nc_ohc=m_qzOp6G6BYQ7kNvwG7KHG4&_nc_gid=rC1szFW5vg994lpASSX0pQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffP4fb9_-8k58hvMGX9fZnrZyBmCgmc3e1bolsij3vjgg&oe=68FFF912&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/568534783_18486311203072700_3793426144600265455_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFfbopbn2fFK1kFgM8Fz8uxf8WRzzdoV6ttkiCRQCzhYZxW5O4sUCwNjFE2Dj6TnTyRfdWW6PEtUh2DTKVtCg1U&_nc_ohc=IeMFKO7qH8sQ7kNvwEKb28y&_nc_gid=rC1szFW5vg994lpASSX0pQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afdzm77WORjZPdn0pZdJEQsOKVsq3M_BiO-Ux8qk1l3KLw&oe=68FFF3AC&_nc_sid=10d13b",,,,,,,,,,,,,
"Sonakshi Sinha shares heartwarming moments with Zaheer and family as they enjoy fun times together❤️✨

.
.
@aslisona 
[Sonakshi Sinha, Bollywood, Bollywood Bubble]","1","779",,"2025-10-23T11:09:55.000Z","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569810990_18486328306072700_5338129182370144166_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=fjHqkBrpg9cQ7kNvwEW6I7O&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Affcel38lyCEr0VjOrm4lVaGMaJlKIhphg-RjHUtvz__SA&oe=69002556&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568123310_18486328246072700_6955161920693084088_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=hpoVpxeoZMYQ7kNvwG6HiT8&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcTJprFQJPlR5zsZjVQdShR9uxKKrOZfYSg-QIAjIybfA&oe=69000EB1&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568693162_18486328258072700_7776138989964619462_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=15ZyYzVLZC8Q7kNvwFKV9ym&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdZTKNGub0ClYpc3FxmBBS0m4PMOYfEz3fPWzA_ukW7Ag&oe=690026BC&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569762585_18486328294072700_268412808073642536_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=-q3_xV6TS_kQ7kNvwH4TWyy&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdcGNIdTEOPFUGhpffXXsyEBaIQcoiwQiYC_Z6iveAALQ&oe=69001FCE&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/567417458_18486328312072700_8893346894664537813_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=yLXysXPsnTAQ7kNvwGgwery&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afcz5s3K-20c6uguKyhYlL3UJV0OiIcyA70GeeF7wYIzfw&oe=69000E2B&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568582078_18486328279072700_7121140887207301356_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=Og6H4Nqhw5MQ7kNvwGTW8Re&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffzGA7dERoETrf1M3ixPZ_JzujJi3Zcurkjbz2MSGj2MQ&oe=68FFF622&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569053620_18486328297072700_9051085752403460201_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=RQys59gyzksQ7kNvwEnKGR3&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffnkMZoXKVc4XwbBzOcj7zLMwHqDPpazMSDqz1v4ddzUw&oe=69000C8F&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568657503_18486328309072700_184267195319701296_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=m1DJXqM94QAQ7kNvwE9howd&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcQp8JUL5t1_cJMuYiofdAegAe0ERNIxZKoT0s2C8HGKg&oe=690008AD&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568850466_18486328336072700_5882892335868618527_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=0ug01Pbi4L0Q7kNvwHY0fk5&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcOsnWywV7wb1w30kYnXwTVb-j0uFRpTLSL2qIR5-MjlQ&oe=69001939&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569852004_18486328339072700_4124370193056774371_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=uM6Fmz7Uz48Q7kNvwEXfqO6&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcG_7NqII001huMLbjvoJkPr02O8zs7O5WjzyQSZL2tjQ&oe=6900168C&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568678509_18486328348072700_2507702785608539527_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=6ETGMUwaDp0Q7kNvwF-diS8&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Aff-NVhc1fa-qpuNsXBtcHK60AWMT5UhUUF309w6NLgNlg&oe=69000229&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569116331_18486328357072700_5955217234163888166_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=e6p3w05fKeUQ7kNvwH9nor2&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeonRaWJDsL5178Okm5Litr1d3nfb-Rku_vG8I4TpGQhA&oe=690007F7&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568811700_18486328372072700_7541312291366921138_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=X6J_a0e-wqwQ7kNvwEYxp2l&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdCRzOlkxJDvpbmw1lTrlaGr0-3kJOibtimQUfAQut58A&oe=68FFF829&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/568800246_18486328375072700_1905650588147966615_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=u0WqFiNscXwQ7kNvwHQnJZm&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Affc0x8rTDFo-6s2i4aXrCcG8Z1rw6DC7yIB3X3wKSbRVg&oe=68FFFC40&_nc_sid=10d13b","https://instagram.feau1-1.fna.fbcdn.net/v/t51.2885-15/569200844_18486328384072700_2167631974974074951_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.feau1-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QEqRXgjOM3YPfFNTtTm7Wqc4Z5FxyutrK_HDALGH3GVmNC51eejvUqZiRi5h949kz0&_nc_ohc=tjtlYfyfBjQQ7kNvwFD3hWr&_nc_gid=dvrddUyEnzhP_Gvv33bEPA&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd2CPsMZz4Lvsqa0qQpFDKINUlKekQ_ZXTlIKUV6EwsvA&oe=690006B4&_nc_sid=10d13b"
"Malaika Arora singing her own iconic song must have been a total show-stealer moment of the evening!😍🙌🏻

.
.
@malaikaaroraofficial 
[Malaika Arora, Bollywood, Bollywood Bubble]","4","433","26402","2025-10-23T09:26:36.000Z",,,,,,,,,,,,,,,
"In a recent interview, when asked why she broke down into tears when Govinda was discharged from the hospital, Tina Ahuja shared, “Woh uss time pe mera tear of victory tha. Kyunki maine uss time pe literally bhagwan se itni prarthnayein ki thi. Aur bohot mujhe uss time pe achha laga tha ki mere father was healthy, happy and he was out of it. Because first he was in the ICCU and I was sleeping down and then he was shifted to the ICU. And my father naa, woh bohot finicky hain. Woh bohot desi hain. Toh woh drips nahi lena, woh antibiotics nahi lena, unko bohot yeh sab cheezon se irritation hoti hai. Toh jab ek insaan woh fight kar raha hota hai naa ki yaar ab kya karein, ab kaise karein. And I was literally sleeping down in the ICU and I wanted him to be back.”

Tina recalled in the interview with Filmygyan, “Bas uss time pe, because jab woh gun shot hua bhi tha, I was the one who took him to the hospital, and I had seen he was going... woh actually jaa rahe the ek event ke liye Calcutta, aur woh early morning flight thi. And maine bakaida woh movies mein jaise hota hai naa... He was wearing a white pant, white jeans lagayi thi aur white t-shirt tha aur jacket tha. Woh poora white jeans jo hai naa poora laal ho gaya tha. And I told him, ‘Papa, yeh all thanks to all your movies,’ ki woh jo bolte hain naa flashback mein aa gaya, you had the courage to fight back and you know, to go to the hospital. Aur mujhe pata hai woh kaise main unko leke gayi thi wahan pe. Toh it was just that, ek hota hai naa ki khushi ke aansu, ki thank you god he’s back. Bas wohi tha. And I’m very emotional, I’m little desi hun main thodi si.”

.
.
@tina.ahuja @govinda_herono1 
[Tina Ahuja, Govinda, Bollywood, Bollywood Bubble]","1","297",,"2025-10-23T10:12:09.000Z",,,,,,,,,,,,,,,
"Catch a glimpse of Ranbir Kapoor and Alia Bhatt as they get papped at Kalina airport!❤️

.
.
[Ranbir Kapoor, Alia Bhatt, Bollywood, Bollywood Bubble]","0","274","7842","2025-10-23T07:32:20.000Z",,,,,,,,,,,,,,,
"Stunning and stylish, Sonam Bajwa and Harshvardhan Rane shine together like a glamorous pair, are they your dream couple too? 🌸❤️
.
.
.
.
@sonambajwa @harshvardhanrane 
[Sonam Bajwa, Harshvardhan Rane, Bollywood, Bollywood Bubble]","9","102",,"2025-10-23T14:28:30.000Z","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/569037055_18486349096072700_939908832226165341_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHcmoRfvD5ZUEXkMB0X2sQH9BpCfu6I__SE0IAriZiLfJogJeC0GSA-24Z5Ai2e0V4&_nc_ohc=5N53helNjRcQ7kNvwGjJ4K0&_nc_gid=4r9D9pkc8LlxIWa5Mozwtg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffOvACA2lKC4426jkeGAPd-ZBRvPaCdd-9SM3julfXmEQ&oe=69001C7D&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/569114078_18486349105072700_5700319438409314408_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHcmoRfvD5ZUEXkMB0X2sQH9BpCfu6I__SE0IAriZiLfJogJeC0GSA-24Z5Ai2e0V4&_nc_ohc=596m9fjbCBkQ7kNvwERzqLG&_nc_gid=4r9D9pkc8LlxIWa5Mozwtg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfelL5GWQj6ahSPL7b4UQfus1KtUDGr5oiK637mPwoyDoA&oe=69001D6D&_nc_sid=10d13b","https://scontent-atl3-3.cdninstagram.com/v/t51.2885-15/569214454_18486349114072700_8734839807156633878_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHcmoRfvD5ZUEXkMB0X2sQH9BpCfu6I__SE0IAriZiLfJogJeC0GSA-24Z5Ai2e0V4&_nc_ohc=MWmjD2cIilUQ7kNvwGq3wDe&_nc_gid=4r9D9pkc8LlxIWa5Mozwtg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeoCkcPGvfPNMmiC5o1LKuxsN4M5_u5D9DSc4AsohGlmQ&oe=690004B9&_nc_sid=10d13b",,,,,,,,,,,,
"Sonal Chauhan flaunts her fresh blowout as she gets papped outside salon!❤️

.
.
@sonalchauhan 
[Sonal Chauhan, Bollywood, Bollywood Bubble]","0","102","7450","2025-10-23T11:55:17.000Z",,,,,,,,,,,,,,,
"Malaika Arora celebrates her birthday in style with near and dear ones!❤️🤩

.
.
@malaikaaroraofficial 
[Malaika Arora, Bollywood, Bollywood Bubble]","23","4159",,"2025-10-23T08:22:02.000Z","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/569941939_18486310606072700_9151472949007813949_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=wMkVtZgFo4UQ7kNvwHRDtWO&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afde8LRg4ZRtO5fAL_qKagIs62JVrluJJGv1gtBth9wDkQ&oe=690024E0&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/568765730_18486310654072700_4092501082200523837_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=qeKuAbj3-5oQ7kNvwFBIJHD&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeaRmnSrbyplRhkNErjnrbt-MYd4CbUkzZiZ-pUTI8Flg&oe=69002374&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/569208225_18486310615072700_5790561230691950595_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=vGFBtqMHFikQ7kNvwFHEaFT&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffeV6XQqUDrFnZ0aH9LeE5GCVB0_axIJuu2EOPRdcoYyQ&oe=69001C84&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/570619777_18486310630072700_5826267467156104470_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=ynnWbzeq-R0Q7kNvwEsnyQU&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afdm4LN5BhPJ5XHlGggQZxo2DS_VnMVHQryJ17WovvJFnw&oe=68FFF5B7&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/569035994_18486310642072700_4014447077769197796_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=Nwij2Lc5rrYQ7kNvwGiUCPR&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfftwPDnjwwkDZniBKb_fqyBRqAffy6p7JOLgkOC2qjWyQ&oe=69001BC8&_nc_sid=10d13b","https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/569514391_18486310633072700_4703244605532591045_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QF_ebVlDeRwoYMjl3nY_PED9I1bVw4ZTJZRUAgeIb2il7571UIYHQrSH33iOVkLvzU&_nc_ohc=IHfCUV2tZOQQ7kNvwEFvu9a&_nc_gid=nYBWssihUDubTaYKlDgp7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffH-tUTySJgePdiiB7SRAtjqJYemsf0NX459CEOJ-hlLg&oe=69001D28&_nc_sid=10d13b",,,,,,,,,
"Can you identify this B-Town actress from her walk?❤️","9","140","8113","2025-10-23T09:59:17.000Z",,,,,,,,,,,,,,,
"Cutest of them all! Shahid Kapoor spotted flashing that heart-melting smile.🫠💘
.
.
.
.
@shahidkapoor 
[Shahid Kapoor, Bollywood, Bollywood Bubble]","1","218","2176","2025-10-23T13:26:42.000Z",,,,,,,,,,,,,,,
