"caption","commentsCount","likesCount","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12"
"Chemistry peaked here 🩷✨

#missmalini #thenamesake #irrfankhan #tabu #bollywood","1","103","2484","2025-10-23T14:26:57.000Z",,,,,,,,,,,,,
"Anurag Kashyap’s phenomenal performance 🙌🏻

#missmalini #tollywood #southcinema #celebs #indiancinema #anuragkashyap","40","2986","49609","2025-10-23T09:25:42.000Z",,,,,,,,,,,,,
"Subhash praised Ranbir’s personality, noting the impact of his marriage to Alia Bhatt: “He is somebody who understands life, and things. And he has become more mature after marriage. Still respects the elders, always touches feet whenever we meet, so he has those values intact.”

#missmalini #AliaBhatt #RanbirKapoor #Bollywood #News #SubhashGhai","0","357",,"2025-10-23T10:08:11.000Z",,,,,,,,,,,,,
"Sara Ali Khan said, “It begins with spending as much time as I can with my mother (Amrita Singh) and my brother (Ibrahim). Mom and I enjoy decorating our house, we make rangolis, light the house with diyas and do Lakshmi puja. Then, I head to my father’s (Saif Ali Khan) home. I have two lovely homes, and it is important to celebrate, love and brighten them both.”

#missmalini #SaraAliKhan #Popculture #Celebs #IndianCinema #SaifAliKhan #AmritaSingh","1","90",,"2025-10-23T13:37:37.000Z",,,,,,,,,,,,,
"Ram Charan and Upasana Konidela are all set to welcome their twins. They shared a video from her Seemantham ceremony on Diwali.

#missmalini #RamCharan #UpasanaKonidela #Tollywood #News","4","673",,"2025-10-23T10:52:56.000Z",,,,,,,,,,,,,
"Vote for your favourite look 😍✨

#missmalini #celeb #style #fashion #diwali2025 #diwali","0","31","1277","2025-10-23T12:32:41.000Z",,,,,,,,,,,,,
"When a scene summed up what women go through! 🥹

#missmalini #trending #yamigautam #bollywood","5","423","4421","2025-10-23T11:15:08.000Z",,,,,,,,,,,,,
"Pagalpan isn’t just coming but about to take over with
Vishal Mishra ‘Pagalpan’ Tour 2025-26 🔥

Exclusive 24 hours pre-sale is live for all Kotak Credit Card holders! 🎟

General sale opens on 24th Oct - Don’t miss out!

Get your tickets on District by Zomato!

@PagalpanTour
@VishalMishraofficial
@Laqshya_EventCapital
@Districtupdates
@kotakbankltd

#DistrictbyZomato #VishalMishra #KotakMahindraBank #Kotakcreditcard #VishalMishraPagalpanTour #pagalpantour #pagalpanindiatour","5","830","8844","2025-10-23T13:00:00.000Z",,,,,,,,,,,,,
"Abhay Deol in Dev. D was a different gravy 🙌🏻

#missmalini #devd #bollywood #bollywoodfilm","1","694","6935","2025-10-23T10:29:40.000Z",,,,,,,,,,,,,
"Sanjay Leela Bhansali’s epic drama Padmaavat was one of the most controversial film releases in Indian cinema. Even before its release, the film sparked intense public debate over the portrayal of Rani Padmavati. After its premiere, the climax scene continued to fuel discussions across audiences. Yet, despite all the controversy, one thing remains undeniable — Padmaavat was a cinematic marvel that beautifully captured the story and spirit of Queen Padmavati through Bhansali’s signature storytelling.

#missmalini #padmaavat #bollywood #cinema","1","97","2816","2025-10-23T14:02:41.000Z",,,,,,,,,,,,,
"The way Sanya Malhotra stood up for herself in this scene 🙌🏻

#missmalini #sanyamalhotra #netflix #bollywood","3","323","5513","2025-10-23T11:44:06.000Z",,,,,,,,,,,,,
