account_name,category,caption,likes_count,comments_count,video_view_count,engagement,polarity,subjectivity,flesch_kincaid_grade
MensXP,Entertainment,"Which one are you buying🧐?
.
.
.
.
.
.
.
(male, men, mensxp, man, mens xp, explore page, for you page, reels, reels instagram, male fashion, boys fashion, men shirts, shirts to buy, male shirts, shirts for men, Best shirt patterns for men, shirts to buy 2025, 2025 shirt patterns)",367,2,0,371.0,0.25,0.15000000000000002,7.345000000000002
MensXP,Entertainment,"Tell crow?
.
.
.
.
.
.
.
.
(male, men, man, mesnxp, mens xp, explore page, for you page, reels, reels instagram, relationship, dating, relationship reels, boys, dating questions, questions to ask a man)",858,40,0,938.0,0.0,0.1,13.030000000000005
MensXP,Entertainment,"Must try this Diwali 🪔 by @astroarunpandit
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, Astro Arun Pandit, Arun Pandit, Astrology, Astro Pandit, explore page, for you page, reels, reels instagram, Diwali, Diwali 2025, Diwali pooja, Diwali puja, yantra to try, Vaastru, Diwali Astrology, Diwali pooja tips 2025, Shriyantra Puja)",52,0,473,56.73,0.0,0.1,14.66436170212766
MensXP,Entertainment,"RK stands for Rizz Kapoor😏
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, explore page, for you page, reels, reels instagram, RK, Arks, Ranbir Kapoor, male fashion, looks, Love and War, bollywood, meme, funny, Alia Bhatt, Ranbir Kapoor latest, Ranbir Kapoor arks)",1071,0,18294,1253.94,0.25,0.54,8.73
MensXP,Entertainment,"Success doesn’t come easy 💯

@bhuvan.bam22 reveals the real sacrifices behind his journey- from cutting down friendships to giving up sleep and sugar to stay focused and fight laziness🔥

Watch this honest moment from Men’s Locker Room on YouTube 
.
.
.
[men, MensXp, Bhuvan Bam, podcast, Bollywood, Bhuvan Bam love life, Bhuvan Bam relationships, Bhuvan Bam trolls, Bhuvan Bam fame, Bhuvan Bam love advice, trending, trend, viral, movie, Bollywood movie, Karan Johar, explore page]",588,2,5293,644.93,0.15308641975308643,0.5691358024691358,12.752676056338032
MensXP,Entertainment,"What does your watch say about you? ft. @varunduggi 
Because every wrist tells a story : hustle, purpose, or adventure.

⌚️ The watches in this reel:
1️⃣ TAG Heuer Formula 1 → The Everyday Hustler
2️⃣ Hamilton Khaki Field Mechanical → The Purist
3️⃣ Seiko Shogurai → The Adventurer

Your watch is saying more about you than you think.
Make sure it’s the right story
.
.
.
[men, MensXP, watches, watch, watch collection, Varun Duggi, collection, fashion, tips and tricks, grooming, men fashion, trending, trend, viral, trending reel, viral reel, explore page]",644,23,7607,766.0699999999999,0.27142857142857146,0.6311507936507936,9.642352941176469
MensXP,Entertainment,"Their day begins in dust, defined by grit, grunts, and grabs. Yet the moment they step off the mat, the story changes. The Haryana Steelers carry a fierce attitude, yet layer it with something new: a modern swagger that mirrors hip hop beats, street fashion silhouettes, and the unapologetic rhythm of Haryanvi rap. They are proof that champions can be more than muscle - they can shape identity, influence style, and shift conversations.

No posturing, no hesitation - just athletes who looked as comfortable in PUMA fits as they do in akharas, their masculinity now speaking in a new vocabulary: one of edge, elegance, and aspiration.

This is kabaddi, reimagined. Strength recast as style. Tradition in conversation with swagger. Athletes who move like icons, and icons who still wear their scars with pride.

Credits:
Conceptualized By: @jsw_sports 
Photography: @anirudhere 
Line Production: @shalinimenonn 
Photography Assistant: @avinash78ni 
Designwear: @soul.kari 
Stylist: @karishmakacharya 
Hair & Makeup Team:
Head: @shifstershettty 
Makeup: @makeupbypallavii 
Hair Assistant: @not_sohailkhan 

#ShowSteelers #HaryanaSteelers #kabaddi 
.
.
.
[men, MensXP, Digital Cover, September Digital Cover, Mensxp Digital Cover, trending, explore now, Instagram]",21408,117,0,21642.0,0.17159090909090907,0.31363636363636366,10.884540229885062
MensXP,Entertainment,"December is going to be Messi⚽️
.
.
.
.
.
.
(male, man, men, mensxp, mens xp, Messi, GOAT, Messi GOAT, Messi India, Goat India Tour, Lionel Messi, Messi Virat Kohli, Messi Srk, Messi Rohit Sharma, Sports, Football, explore page, for you page, reels, reels instagram, sports, football reels, Messi India tour, Messi Modi, Messi after 14 years)",1467,13,0,1493.0,0.0,0.1,14.114811320754718
MensXP,Entertainment,"@shreyasiyer96 , the epitome of unwavering commitment, versatility and dedication. Celebrating his recent IPL win, Iyer seamlessly combines strength, energy, and remarkable excellence. His leadership skills, marked by steadfast commitment, are privy to the fact that peak performance is fueled by physical fitness and dedication because ‘He is a man of his word’! 

Embracing whatever comes his way, he faces each challenge with tireless resolve and an optimistic spirit. His relentless drive on and off the field exemplifies excellence and makes him the perfect choice to lead.

Team Credits:
Founder- MensXP, iDiva & Hypp: Angad Bhatia (@iangadbhatia )
Head Of Editorial Content: Dattaraj Thaly (@dattarajthaly)
Hair- Aalim Hakim (@aalimhakim)
Makeup- Cassandra Kehren (@inherchair) 
Stylist- Nikita Jaisinghani (@nikitajaisinghani)
Photographer- Rahul Jhanggiyani (@rahuljhangiani) 
Player's Agency- RISE Worldwide (@r1seworldwide )

#MensXP #ShreyasIyer #Shreyas #Manofhiswords #Junedigitalcover #cricketlover",112076,262,0,112600.0,0.39375,0.5053571428571428,15.754689922480619
MensXP,Entertainment,"Growth, when it’s real, is rarely loud. 

It doesn’t always come wrapped in applause or algorithms. Sometimes, it arrives in the quiet — in the distance one puts between performance and authenticity. 

For @puravjha that distance has been transformative. Once the boy with effortless timing and memeable charm, he now stands at a more deliberate crossroads: one where craft takes precedence over clout, and narrative over noise. 

In a creator economy obsessed with reinvention, his evolution is refreshingly unforced. It isn’t a departure from the past — but a deeper reckoning with selfhood. 

With this MensXP cover, we don’t just meet a digital star. We meet a young man reclaiming his voice, rethinking his trajectory, and reimagining what it means to take up space with intention.

This is Purav Jha. Not rebranded — but redefined. Coming Into His Own.

#ComingIntoHisOwn #PuravJha #MensXPCover #Trending 

Team Credits: 
Head Of Editorial Content: Dattaraj Thaly (@dattarajthaly )
Photographer- Rohit Gautam (@shutterstrings )
Stylist - Shivika Paliwal (@shivikapaliwal )
Assistant Stylist -Charu Sharma (@charuuuhhhh )
Hair & Makeup - Rohit Diwaker ( @rohit_diwaker )

Wardrobe Credits: 

Look 1: 
Outfit: @perte_dego 

Look 2: 
Shirt: @perte_dego 
Pants: @labelalphaomega 
Footwear: @dmodotofficial",154917,1967,0,158851.0,0.056249999999999994,0.5354166666666667,10.767071823204422
